class,conversation,augmented_conversation,translation_check
일반 대화,"휴대폰 액정 또 깨졌어, 이번엔 완전 거미줄이야.❤️서비스센터 가면 돈 폭탄인데 지갑이 울어.❤️케이스 안 쓴 내가 바보지, 칼로 긁힌 기분.❤️폴더블 살까 고민하다가도 파산각이라 포기.❤️친구가 강화유리 줄 테니 담배 한 갑 사오래.❤️딜 괜찮네, 건강 챙기고 돈도 세이브.❤️오늘 퇴근 후 바로 센터 가서 눈물의 수리하자.❤️끝나고 치맥? 깨진 마음 접착제 필요해.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","내 휴대폰 화면이 또 깨졌어, 이번엔 완전 거미줄처럼 금이 갔어.<LF> 서비스 센터 가면 비용이 폭탄 수준이라 지갑이 울고 있어.<LF> 케이스 안 쓴 내가 바보야; 칼에 긁힌 것 같은 기분이야.<LF> 접이식 폰 사볼까 생각했는데, 그러면 내 파산이라 포기했어.<LF> 친구가 담배 한 갑 가져가면 강화유리 보호필름 준대.<LF> 나쁘지 않은 거래야 — 내 건강 챙기고 돈도 절약하고.<LF> 오늘 일 끝나고 바로 센터로 가서 눈물 흘리며 수리할 거야.<LF> 그다음엔 치맥 어때? 부서진 마음을 붙잡을 접착제가 필요해.<LF> 오늘 교훈: 이걸 기록해두고 다시는 이런 일이 안 생기게 약속할게.",True
일반 대화,"지하철에서 이어폰 잃어버려서 음악 금단 왔어.❤️옆자리 아저씨가 슬쩍한 듯 눈빛이 수상했지.❤️바로 경찰 호출? 그건 오버라 참고 내림.❤️돈보다 플레이리스트 날아간 게 더 화나.❤️담배 대신 껌 씹으며 분노 억제했는데 실패.❤️집 와서 예전 유선 이어폰 꺼냈더니 선 꼬여 살인 충동.❤️내일 중고 거래로 새 거 구해볼까?❤️콜, 거래 실패하면 커피라도 쏠게.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","지하철에서 이어폰을 잃어버려서 음악 없이 못 견디겠어요. <LF> 옆에 있던 남자가 뭔가 수상한 눈초리로 쳐다보더니, 혹시 그 사람이 이어폰을 낚아챘나 싶었어요. <LF> 바로 경찰에 신고할 걸 그랬나? 너무 지나칠 것 같아서 참았고, 그냥 내렸어요. <LF> 돈 잃은 것보다 플레이리스트 잃은 게 더 속상해요. <LF> 화를 진정시키려고 담배 대신 껌을 씹어봤지만 실패했어요. <LF> 집에 와서 오래된 유선 이어폰을 꺼냈는데, 엉켜 있어서 정말 화가 치밀었어요. <LF> 내일은 중고로 새 이어폰을 사볼까 해요. <LF> 거래가 잘 안 되면 적어도 커피 한 잔은 사 드릴게요. <LF> 오늘의 교훈은 이런 일이 다시는 없도록 반드시 기억하고 다짐하는 거였어요.",True
일반 대화,"회사 자판기 커피값 천 원에서 천오백 원으로 급등.❤️물가 미쳤다며 동료들 단체로 폭발.❤️총무팀에 따지려다 칼같이 예산절감 타령 듣고 후퇴.❤️돈도 없는데 카페인은 포기 못 해, 완전 인질극.❤️내 텀블러에 믹스커피 몰래 타다 걸리면 짤릴지도.❤️그래도 담배 끊은 덕에 음료비 좀 절약했지.❤️오늘은 티백 퍼와서 버티자, 지갑 방어전!❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","회사 자판기 커피 가격이 갑자기 1,000원에서 1,500원으로 올랐어요. <LF>동료들이 다들 생활비가 미친 것 같다며 분노를 폭발시켰죠. <LF>총무팀에 불만을 제기하려 했지만, 예산 삭감 얘기만 듣고 결국 포기했어요. <LF>돈은 부족한데 카페인은 포기할 수 없으니, 마치 인질이 된 기분이에요. <LF>텀블러에 몰래 커피 타는 거 들키면 심지어 해고될 수도 있고요. <LF>하지만 금연 덕분에 음료비는 조금 절약할 수 있었어요. <LF>오늘은 지갑을 지키기 위해 직접 티백을 챙겨왔답니다! <LF>오늘의 교훈: 기록해두고 절대 다시 이런 일 겪지 않겠다고 다짐하세요.",True
일반 대화,"야구장 갔는데 홈팀 연패라 욕설 난무.❤️옆자리 팬이 맥주 컵 던져서 옷 다 젖었어, 분노 MAX.❤️근데 사과 대신 웃고 넘어가자는 제스처, 뒤통수 얼얼.❤️경호원 호출할까 하다 경기 포기하기 싫어 참았지.❤️결국 9회말 역전승, 울다 웃다 목 쉬었어.❤️다음엔 우비 챙겨야 돈 세이브, 멘탈 보호.❤️치맥값은 비쌌지만 승리 덕에 화 반은 사라짐.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","나는 야구장에 갔지만 홈팀이 연패 중이라 욕설이 난무했다.<LF> 내 옆에 있던 팬이 맥주컵을 던져 내 옷을 흠뻑 적셨고, 화가 극에 달했다.<LF> 하지만 사과 대신 그들은 웃으며 대수롭지 않게 넘겨 나를 멍하게 만들었다.<LF> 경찰을 부를까도 생각했지만 경기를 포기하기 싫어 참았다.<LF> 결국 9회 말 극적인 역전승에 목이 쉬도록 울고 웃었다.<LF> 다음번에는 돈도 아끼고 정신 건강도 지키기 위해 우비를 챙길 것이다.<LF> 맥주와 치킨 값은 비쌌지만, 승리 덕분에 절반의 짜증은 사라졌다.<LF> 결국 오늘의 교훈을 마음에 새기며 다시는 이런 일이 없도록 스스로 다짐했다.",True
일반 대화,"보드게임 카페 예약했는데 사장님이 시간 헷갈려서 자리 없음.❤️친구들 다 모여서 헛웃음, 칼바람 몰아쳤지.❤️사장이 미안하다며 음료 쿠폰 던졌지만 분노 수치 그대로.❤️돈 돌려받고 근처 PC방 급선회, 담배 냄새 작렬.❤️결국 웃으며 게임했지만 동선 낭비에 체력 방전.❤️다음엔 예약 문자 캡처 필수, 뒤통수 방지책.❤️분노 참느라 욕은 삼켰지만 속은 끓는 냄비였지.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","보드게임 카페 예약을 했는데, 사장님이 시간을 착각하셔서 자리가 없었어요. <LF> 친구들이 모두 모였는데 우린 어색하게 웃고만 있었고, 찬바람이 휙 불었죠. <LF> 사장님이 사과하시면서 음료 쿠폰을 나눠주셨지만 제 화는 가라앉지 않았어요. <LF> 환불받고 근처 PC방으로 달려갔는데, 담배 연기가 가득했어요. <LF> 결국 웃으면서 게임을 했지만, 허비한 시간과 에너지가 너무 힘들었죠. <LF> 다음번엔 예약 메시지 캡처를 꼭 해서 당하지 않기로 다짐했어요. <LF> 화를 참으려고 욕설을 삼켰지만 속은 끓어올랐죠. <LF> 오늘의 교훈은 분명했어요—다시는 이런 일에 속지 않겠다고 다짐했답니다.",True
일반 대화,"아이스크림 사려고 줄 섰는데 내 차례에 품절.❤️점원이 '죄송' 반복, 뒤에선 한숨 폭격.❤️30분 줄 서다 허무, 지갑은 열지도 못했네.❤️빙수로 대체했지만 얼음 맛에 화력 유지.❤️친구가 레어 맛 한 입 주니 살짝 융화.❤️담배 생각 물리치고 달달함으로 참은 승리?❤️분노 참느라 욕은 삼켰지만 속은 끓는 냄비였지.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","나는 아이스크림을 사기 위해 줄을 섰지만, 내 차례가 되었을 때는 이미 다 팔린 상태였다. <LF> 점원은 계속해서 “죄송합니다”라고 말했고, 내 뒤에서는 한숨 소리가 터져 나왔다. <LF> 30분을 기다렸지만 헛수고 같아 지갑도 꺼내지 않았다. <LF> 대신 빙수를 먹었지만, 얼음처럼 차가운 맛에도 침착함을 잃지 않았다. <LF> 친구가 희귀한 맛을 한 입 주었을 때, 마음이 조금 부드러워졌다. <LF> 담배 생각을 떨쳐내고 단맛으로 견뎠다—이게 승리였을까? <LF> 욕하지 않고 화를 삼켰지만, 속으로는 끓는 냄비처럼 화가 치밀었다. <LF> 결국 오늘의 교훈을 새기고, 다시는 이런 일이 일어나지 않도록 다짐했다.",True
일반 대화,"택배 기사님이 계단에 박스 던져놔서 모서리 찢김.❤️안에 새 키보드인데 키캡 날아간 거 보고 암담.❤️콜센터 전화했더니 '사진 보내라'라며 절차 지옥.❤️돈 보상받아도 기분은 깨진 키캡처럼 갈라짐.❤️저녁에 분해 청소하며 마음 달랠까 했지만 나사 분실.❤️친구가 여분 주기로, 내일 회복 가능성 50%.❤️그래도 후기 하나는 칼같이 남겨야지.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","배달 기사가 계단에 상자를 내던져서 모서리가 찢어졌어요. <LF> 안에는 새 키보드가 들어 있었는데, 키캡이 튕겨 나가는 모습을 보니 마음이 아팠어요. <LF> 고객센터에 전화했더니 “사진을 보내세요”라며 지옥 같은 절차를 겪으라고 하더군요. <LF> 금전적 보상을 받는다 해도, 깨진 키캡처럼 내 마음도 산산조각난 기분이에요. <LF> 오늘 밤은 분해해서 닦으면서 위로하려고 했는데, 나사가 하나 없어졌어요. <LF> 친구가 여분 나사를 준다고 해서 내일 복구될 확률은 50%예요. <LF> 그래도 신랄하고 정확한 후기는 꼭 남겨야겠어요. <LF> 결국 오늘의 교훈을 기록하며 다시는 이런 일에 당하지 않겠다고 다짐했답니다.",True
일반 대화,"연차 쓰려 했는데 부장님이 같은 날 휴가 선언.❤️겹치면 지옥이라며 내 연차 거절, 혈압 상승.❤️건강검진 예약 걸어 핑계라도 만들어야 할 판.❤️돈 내고 검사받는 게 휴식이냐며 팀원들 폭소.❤️그래도 휴가권 사수하려 글라이딩 중임.❤️부장님도 담배 끊는다며 예민, 건드리면 폭발.❤️다들 눈치게임 중, 회사생활 RPG네.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","하루 휴가를 내려고 했는데, 매니저가 같은 날에 휴가를 지정해버렸어요. <LF> 겹치는 휴가는 지옥이라며 휴가 신청을 거부하더니, 제 혈압만 올려놨어요. <LF> 이제는 핑계라도 대려고 건강 검진 예약까지 해야 하네요. <LF> 팀원들은 검사비 내는 게 휴식이라 할 수 있냐며 웃었어요. <LF> 그래도 저는 제 휴가 권리를 지키려고 힘겹게 버티고 있어요. <LF> 매니저는 금연 중이라 폭발 직전이라며 날카롭게 굴고 있어요. <LF> 모두가 알 듯 말 듯 미묘한 신경전을 벌이고 있는데, 마치 직장 내 RPG 같아요. <LF> 오늘의 교훈: 메모를 꼭 해두고 다시는 허를 찔리지 말자!",True
일반 대화,"동호회 번개 모임 갔더니 두 명밖에 안 와서 썰렁.❤️회비 걷어놓고 취소도 안 해, 사기가 따로 없네.❤️남은 사람끼리 라멘 먹다 스프 튀어 옷 얼룩, 멘붕.❤️세탁비 받겠다니까 장난치냐며 웃고 넘어가자더라.❤️집 와서 베이킹소다 뿌리며 분노 세탁.❤️다음 모임? 지옥도 한 번이면 충분, 탈퇴각.❤️분노 참느라 욕은 삼켰지만 속은 끓는 냄비였지.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.","클럽의 즉석 모임에 갔는데, 겨우 두 사람만 와서 정말 허전했어요. <LF> 미리 회비를 걷었으면서도 취소하지 않다니, 완전 사기였어요. <LF> 남은 몇 명이 함께 라면을 먹었는데, 국물이 튀어서 옷에 얼룩이 졌어요—대폭발이었죠. <LF> 세탁비를 요구했더니 농담하는 줄 알고 그냥 웃어넘기더라고요. <LF> 집에 와서 베이킹 소다로 화를 씻어냈어요. <LF> 다음 모임? 이런 끔찍한 경험은 한 번으로 충분해요; 전 그만둘래요. <LF> 욕은 참았지만 속으로는 끓어올랐답니다. <LF> 오늘의 교훈? 메모해두고 다시는 이런 일에 속지 않기로 다짐했어요.",True
일반 대화,"인터넷 은행 인증서 만료돼 이체 막혀서 패닉.❤️콜센터 대기 40분, 음악은 고문, 목소린 로봇.❤️결국 서류 들고 지점 방문, 디지털의 굴욕.❤️수수료 면제해준다길래 그나마 분노 -10%.❤️담배 대신 사탕 씹으며 줄 서다 허리 나감.❤️다 끝나니 이미 오후, 업무도 산더미.❤️오늘은 치킨 배달로 마음 복구해야지.❤️결국 오늘 교훈은 메모하고 다음엔 절대 안 당하기로 약속했다.❤️내일은 오류 없길 빌며 일정 다시 갈아엎는다.","인터넷 뱅킹 인증서가 만료되어 이체가 막히고 당황스러웠다. <LF> 콜센터에 40분 동안 대기했는데, 음악은 고문 같았고 상담원 목소리는 로봇 같았다. <LF> 서류 들고 지점에 직접 방문하는 디지털 굴욕을 겪었다. <LF> 수수료는 면제해준다고 해서 분노가 10%는 줄었다. <LF> 줄 서서 기다리다가 담배 대신 사탕을 씹었는데, 허리가 아팠다. <LF> 모든 일이 끝났을 때는 이미 오후가 되었고 밀린 업무가 쌓여 있었다. <LF> 오늘은 치킨 배달로 기운을 차릴 생각이다. <LF> 오늘 교훈: 메모를 하고 절대 이런 일을 다시 겪지 않겠다고 다짐하기. <LF> 내일은 오류 없이 스케줄을 다시 정리할 수 있길 바라며.",True
일반 대화,재택근무하느라 집 컴퓨터가 미쳐버릴 듯해.❤️회의 중에 카메라가 꺼져서 상사한테 죽은 사람 취급받는 기분이었어.❤️기술팀에 SOS 요청했더니 미안하단 말만 반복하더라.❤️칼 들고 가서 직접 고쳐주고 싶었지만 참았지.❤️결국 공유장비 빌려서 일 마치긴 했어.❤️다음부턴 백업 장비라도 꼭 준비해두려 해.❤️이젠 집에서라도 스트레스 받기 싫다.,"재택근무가 내 컴퓨터를 미치게 만들고 있어요. <LF> 회의 도중에 카메라가 꺼져서, 상사가 나를 유령 취급하는 기분이 들었죠. <LF> 기술팀에 도움을 요청했지만, 그저 계속 사과만 하더라고요. <LF> 칼을 들고 직접 고치러 가고 싶었지만 참았어요. <LF> 결국 공동 장비를 빌려서 일을 마쳤답니다. <LF> 다음엔 꼭 예비 장비를 준비할 거예요. <LF> 집에서도 스트레스 받고 싶지 않거든요.",True
일반 대화,장 볼 때 장바구니에 미리 할인 쿠폰 넣었는데 계산할 때 안 됐어.❤️직원이 죄송하단 말만 하고 고치는 법도 몰라서 답답했어.❤️제발 제대로 교육이라도 해줬으면 좋겠다.❤️이러다 마트에서 돈만 날리는 거 아닐까 싶어.❤️다음부턴 쿠폰 확인 철저히 하려고 메모해뒀어.❤️그래도 꼭 할인 받아보려는 간절함이 남더라.❤️이돈 아끼려다 스트레스 더 받는다.,쇼핑할 때 할인 쿠폰을 이미 장바구니에 넣었는데 결제할 때 적용이 되지 않았어요. <LF> 직원분들은 계속 사과만 하시고 어떻게 해결해야 할지 몰라서 정말 답답했어요. <LF> 제대로 된 교육을 해줬으면 좋겠어요. <LF> 슈퍼마켓에서 돈을 그냥 버리는 것 같은 걱정이 생기기 시작했어요. <LF> 이제부터는 쿠폰을 꼼꼼히 확인하기로 다짐했어요. <LF> 그래도 할인받을 수 있다는 강한 희망은 여전히 있어요. <LF> 이렇게 돈을 절약하려고 하다 보니 오히려 스트레스만 더 커지네요.,True
일반 대화,내 차 타이어가 펑크 나서 미칠 듯 짜증났어.❤️운행 중이라 도로변에 멈춰서 죽을 고생했지.❤️견인서비스에 연락하니 한 시간 기다리래.❤️칼이라도 꺼내서 바퀴 직접 갈아버리고 싶었어.❤️결국 지인에게 SOS 요청해서 도움 받았어.❤️다음부턴 스페어 타이어라도 꼭 챙기려 해.❤️이제 운전도 무서워진 기분이야.,차 타이어가 펑크 나서 엄청 짜증이 났어요. <LF> 운전 중이라 갓길에 차를 세워야 했고 정말 힘든 시간을 보냈답니다. <LF> 견인 서비스를 전화했더니 한 시간이나 기다려야 한다고 하더라고요. <LF> 차라리 칼을 꺼내서 직접 타이어를 갈아끼우고 싶을 정도였어요. <LF> 결국 친구에게 도움을 요청해서 도움을 받았어요. <LF> 앞으로는 반드시 스페어 타이어를 항상 챙기기로 했답니다. <LF> 이제는 운전하는 게 무서울 정도예요.,True
일반 대화,헬스장 갔더니 내 자리에 누가 수건 놓고 자리 차지했어.❤️가볍게 부탁했더니 '잠깐만'이란 말만 반복하더라.❤️내 기구 쓰려고 기다리는데 미치겠더라.❤️결국 살살 밀어내고 운동했지만 기분은 더럽기만 해.❤️제발 운동할 땐 기본 예의라도 지켜줬으면 좋겠다.❤️다음부턴 가방이라도 내려놓고 표식 해두려 해.❤️이젠 스트레칭조차 만족스럽진 않다.,"제가 체육관에 갔을 때, 누군가가 제 자리를 차지하려고 수건을 놓아 두었어요. <LF> 정중하게 부탁했는데도 그들은 계속 ""조금만 기다려 주세요.""라고만 했어요. <LF> 저는 운동기구를 사용하려고 기다리고 있었는데, 점점 미칠 것 같았죠. <LF> 결국 조심스럽게 그들을 옆으로 밀치고 운동했지만, 기분은 너무 안 좋았어요. <LF> 사람들이 운동할 때라도 기본적인 예의를 좀 지켰으면 좋겠어요. <LF> 다음번에는 표시로 가방을 놓아둘까 생각 중이에요. <LF> 지금은 스트레칭조차도 만족스럽지가 않네요.",True
일반 대화,가족 저녁 식사에서 예전 일 꺼내서 놀리는 바람에 기분 안 좋았어.❤️형이 '이래서 넌...'이라며 계속 농담하길래 돌아버릴 뻔했지.❤️'너나 잘해라'라고 반박했더니 다들 당황하더라.❤️결국 화해하려고 디저트 대접했더니 분위기 풀렸어.❤️이젠 가족 모임이 조금 부담스럽다.❤️다음 모임 때는 무조건 좋아하는 메뉴 준비할 생각이야.❤️제발 예전 일 꺼내지 않길 바랄 뿐.,"가족 저녁 식사 자리에서 옛날 일을 꺼내면서 나를 놀릴 때 속상했어. <LF> 형이 계속 ""그래서 너는..."" 같은 농담을 하면서 나를 놀렸고, 나는 거의 참지 못할 뻔했어. <LF> 내가 ""네 일이나 신경 써""라고 받아쳤을 때 모두가 놀랐지. <LF> 결국 나는 화해하려고 후식 사면서 분위기를 풀었어. <LF> 이제 가족 모임이 좀 부담스럽게 느껴져. <LF> 다음번에는 내가 좋아하는 음식만 준비하려고 해. <LF> 그냥 아무도 다시 옛날 일을 꺼내지 않았으면 좋겠어.",True
일반 대화,이번 달 예산 짜다가 카드값 통장 잔고 확인하니 소름 돋더라.❤️연말 파티비에 술값까지 합치면 진짜 돈만 날릴 판이야.❤️'다음엔 절약 좀 해'라는 알림이 친구에게서 왔어.❤️내 대출 이자만 해도 미칠 듯 부담스럽고.❤️그래서 부업이라도 해야 하나 고민 중이야.❤️다음 달엔 지출 자동 관리 앱을 설치해 보려 해.❤️제발 이번 달은 무사히 넘어갔으면.,이번 달 예산을 짜면서 은행 잔고와 신용카드 청구서를 비교했을 때 소름이 돋았어요. <LF> 연말 파티 음주 비용까지 더하면 정말 돈을 그냥 허공에 버리는 셈이네요. <LF> 친구에게서도 “다음에는 좀 절약해 봐”라는 알림이 왔어요. <LF> 대출 이자만 해도 정말 부담이 엄청나요. <LF> 그래서 부업이라도 해볼까 고민 중이에요. <LF> 다음 달에는 자동으로 지출을 관리해 주는 앱을 설치할 계획이에요. <LF> 이번 달은 아무 문제 없이 무사히 지나가길 정말 바래요.,True
